1,0#851.1,667.7;851.1,588.9;827.4,644.0;772.3,648.0;752.6,730.7;764.4,825.3;799.8,644.0;788.0,506.2;788.0,510.1;784.1,443.1;827.4,407.7;839.2,451.0;827.4,502.2;744.7,506.2;764.4,478.6;799.8,419.5
2,0#849.1,666.9;845.4,588.9;821.0,627.3;766.6,631.2;756.8,710.6;772.9,803.2;794.0,627.3;778.7,491.9;778.7,494.1;772.2,427.9;825.9,405.4;837.1,444.5;819.4,486.8;734.3,493.2;751.1,476.0;784.5,430.9
3,0#847.1,666.2;839.8,589.0;814.6,610.6;761.0,614.4;761.0,690.4;781.3,781.0;788.1,610.6;769.5,477.7;769.5,478.2;760.4,412.8;824.4,403.0;835.0,437.9;811.3,471.4;723.9,480.2;737.8,473.4;769.3,442.2
4,0#845.2,665.4;834.1,589.0;808.2,593.9;755.3,597.6;765.2,670.2;789.8,758.9;782.3,593.9;760.2,463.4;760.2,462.2;748.5,397.6;823.0,400.7;832.8,431.4;803.3,456.0;713.4,467.2;724.5,470.8;754.0,453.6
5,0#843.2,664.6;828.4,589.1;801.8,577.2;749.7,580.9;769.4,650.1;798.2,736.8;776.5,577.2;750.9,449.2;750.9,446.2;736.7,382.4;821.5,398.4;830.7,424.9;795.3,440.7;703.0,454.2;711.2,468.2;738.8,464.9
6,0#841.2,663.8;822.8,589.1;795.4,560.5;744.0,564.1;773.5,630.0;806.6,714.7;770.7,560.5;741.6,434.9;741.6,430.3;724.8,367.2;820.0,396.0;828.6,418.4;787.2,425.3;692.6,441.1;697.9,465.7;723.5,476.3
7,0#839.2,663.1;817.1,589.1;789.0,543.8;738.3,547.3;777.7,609.8;815.1,692.5;764.8,543.8;732.4,420.7;732.4,414.3;712.9,352.1;818.5,393.7;826.5,411.9;779.2,409.9;682.2,428.1;684.6,463.1;708.2,487.7
8,0#837.3,662.3;811.5,589.2;782.6,527.1;732.7,530.5;781.9,589.7;823.5,670.4;759.0,527.1;723.1,406.4;723.1,398.4;701.1,336.9;817.1,391.3;824.3,405.3;771.1,394.5;671.7,415.1;671.3,460.5;693.0,499.0
9,0#835.3,661.5;805.8,589.2;776.2,510.4;727.0,513.7;786.1,569.5;832.0,648.3;753.2,510.4;713.8,392.2;713.8,382.4;689.2,321.7;815.6,389.0;822.2,398.8;763.1,379.1;661.3,402.1;658.0,457.9;677.7,510.4
10,0#819.6,650.3;792.4,575.4;765.1,497.0;717.4,493.6;778.7,565.1;795.8,592.4;744.7,493.6;700.4,374.4;700.4,367.6;678.2,301.2;792.4,360.8;816.2,371.0;748.1,360.8;645.9,384.6;652.7,449.3;669.7,497.0
11,0#786.3,641.7;782.9,553.8;745.7,476.0;694.9,472.6;654.3,442.2;684.8,513.2;722.0,476.0;691.5,354.2;694.9,354.2;666.2,288.2;766.0,310.2;803.2,340.7;738.9,344.1;650.9,364.4;596.8,340.7;637.4,391.4
12,0#767.5,610.8;768.7,524.0;730.4,473.0;679.2,470.9;651.4,457.1;684.3,528.4;706.2,473.6;684.4,348.5;687.1,348.5;668.8,283.2;753.2,303.4;784.3,335.1;730.2,343.7;644.0,352.7;602.1,327.2;643.1,363.1
13,0#748.7,579.9;754.6,494.2;715.1,469.9;663.5,469.2;648.4,472.1;683.8,543.6;690.4,471.2;677.3,342.8;679.4,342.8;671.4,278.2;740.5,296.6;765.4,329.5;721.6,343.3;637.1,341.0;607.3,313.6;648.8,334.8
14,0#729.9,549.0;740.4,464.4;699.8,466.9;647.9,467.5;645.5,487.0;683.4,558.9;674.5,468.9;670.3,337.1;671.6,337.1;673.9,273.1;727.7,289.9;746.6,323.8;712.9,343.0;630.3,329.4;612.6,300.1;654.5,306.6
15,0#711.1,518.1;726.3,434.6;684.5,463.8;632.2,465.8;642.5,502.0;682.9,574.1;658.7,466.5;663.2,331.4;663.9,331.4;676.5,268.1;715.0,283.1;727.7,318.2;704.3,342.6;623.4,317.7;617.8,286.5;660.2,278.3
16,0#692.3,487.2;712.1,404.8;669.2,460.8;616.5,464.1;639.6,516.9;682.4,589.3;642.9,464.1;656.1,325.7;656.1,325.7;679.1,263.1;702.2,276.3;708.8,312.6;695.6,342.2;616.5,306.0;623.1,273.0;665.9,250.0
17,0#678.4,454.9;690.7,390.1;653.7,461.1;601.3,458.0;619.8,513.5;653.7,584.4;626.0,458.0;647.5,328.4;647.5,325.4;683.0,268.3;700.0,288.4;706.1,334.6;681.5,353.1;613.6,303.8;635.2,285.3;664.5,274.5
18,0#667.8,466.7;685.9,397.9;646.3,456.6;591.2,448.3;620.4,488.9;646.8,557.9;615.6,449.3;645.6,326.4;646.6,322.2;680.4,274.7;697.3,306.3;703.9,348.4;680.0,348.4;611.6,302.3;613.7,302.0;664.3,296.4
19,0#657.2,478.5;681.1,405.7;638.9,452.0;581.1,438.6;620.9,464.4;639.9,531.4;605.3,440.6;643.7,324.4;645.7,318.9;677.8,281.1;694.6,324.1;701.6,362.1;678.5,343.7;609.5,300.8;592.2,318.7;664.0,318.2
20,0#646.6,490.3;676.3,413.4;631.5,447.5;571.0,428.9;621.5,439.8;633.0,504.9;595.0,431.8;641.8,322.4;644.8,315.7;675.1,287.4;692.0,342.0;699.4,375.9;677.0,339.0;607.5,299.2;570.6,335.3;663.8,340.1
21,0#636.0,502.1;671.5,421.2;624.1,442.9;560.9,419.2;622.1,415.2;626.1,478.4;584.6,423.1;639.9,320.4;643.9,312.5;672.5,293.8;689.3,359.9;697.2,389.6;675.5,334.3;605.4,297.7;549.1,352.0;663.6,361.9
22,0#636.3,524.2;666.7,437.9;618.5,430.3;567.8,415.1;557.6,339.0;560.2,399.8;593.1,420.1;636.3,316.1;641.3,300.9;660.4,264.1;699.7,382.1;699.7,387.2;681.9,331.3;593.1,300.9;588.1,341.5;618.5,349.1
23,0#635.6,540.8;661.6,462.6;624.0,424.9;577.6,413.3;624.0,419.1;635.6,514.7;600.8,422.0;632.7,311.9;638.4,300.4;654.4,243.9;699.3,390.1;702.2,387.2;679.0,326.4;589.2,297.5;568.9,340.9;618.2,349.6
24,0#636.1,557.2;658.2,474.9;636.1,417.9;588.6,411.6;645.6,452.7;642.4,474.9;610.8,414.7;632.9,300.8;636.1,291.3;656.7,232.7;702.6,414.7;702.6,373.6;680.4,316.6;585.4,288.1;588.6,326.1;607.6,335.6
25,0#651.0,571.7;664.3,492.0;654.3,422.2;597.9,415.6;581.3,395.7;611.1,455.4;627.7,418.9;634.4,292.7;637.7,282.8;652.6,228.0;704.1,405.6;704.1,362.5;684.2,306.0;587.9,276.1;554.7,249.6;577.9,272.8
26,0#660.2,567.2;670.6,487.2;656.7,414.1;601.0,410.6;608.0,428.0;621.9,487.2;628.9,410.6;635.8,285.3;639.3,274.9;648.0,214.0;695.0,393.2;708.9,351.5;684.5,295.8;590.6,267.9;557.5,220.9;599.3,214.0
27,0#664.9,544.2;682.8,464.1;659.0,411.7;604.8,409.3;611.9,441.6;622.4,509.1;631.9,409.3;638.9,278.3;641.3,271.4;650.7,207.7;708.8,356.4;723.0,329.8;687.2,286.5;593.0,263.1;558.7,218.4;594.5,198.5
28,0#669.7,521.1;695.1,440.9;661.2,409.2;608.5,408.1;615.8,455.3;622.8,531.0;634.9,408.1;642.1,271.4;643.2,267.9;653.5,201.3;722.7,319.5;737.0,308.0;690.0,277.3;595.3,258.2;560.0,215.8;589.8,183.1
29,0#674.4,498.1;707.3,417.8;663.5,406.8;612.3,406.8;619.7,468.9;623.3,552.9;637.9,406.8;645.2,264.4;645.2,264.4;656.2,195.0;736.5,282.7;751.1,286.3;692.7,268.0;597.7,253.4;561.2,213.3;585.0,167.6
30,0#688.9,477.2;723.6,400.1;669.6,400.1;611.8,400.1;615.7,481.0;623.4,573.5;638.8,400.1;642.7,261.4;642.7,261.4;658.1,188.2;700.5,238.3;750.6,261.4;692.8,261.4;600.3,253.7;557.9,230.6;584.9,195.9
31,0#705.4,434.6;724.1,363.6;668.1,400.9;615.8,404.7;615.8,490.6;612.0,569.1;641.9,400.9;645.7,266.4;645.7,266.4;662.5,193.6;698.0,210.4;739.1,244.0;690.5,273.9;597.1,259.0;563.5,255.2;585.9,217.9
32,0#708.8,421.5;708.8,335.8;680.2,397.7;623.0,407.2;613.5,488.1;608.8,578.6;646.9,397.7;651.6,269.1;651.6,269.1;656.4,197.7;704.0,183.4;732.6,231.0;694.5,273.9;608.8,269.1;570.7,269.1;589.7,235.8
33,0#731.5,393.0;697.6,393.0;693.3,405.7;629.7,414.2;604.2,477.9;599.9,575.5;663.6,410.0;646.6,274.1;646.6,278.4;655.1,206.2;710.3,176.5;727.3,231.7;693.3,274.1;604.2,269.9;578.7,303.9;583.0,282.6
34,0#729.5,402.9;689.2,415.0;689.2,419.0;632.9,419.0;608.7,475.3;596.6,567.9;665.1,419.0;649.0,286.1;649.0,282.1;653.0,213.7;725.4,177.5;721.4,225.8;693.2,278.1;600.7,294.2;580.5,334.4;588.6,294.2
35,0#617.1,516.4;684.7,416.7;691.8,423.8;638.4,423.8;613.5,470.1;602.8,559.1;666.9,423.8;642.0,295.6;642.0,288.5;652.7,217.3;736.3,183.5;720.3,231.5;691.8,284.9;595.7,302.7;570.8,349.0;585.0,331.2
36,0#725.0,454.3;718.3,377.6;705.0,414.3;641.7,424.3;605.0,447.6;618.3,547.6;668.3,424.3;641.7,297.6;641.7,287.6;648.3,220.9;726.7,205.9;728.3,257.6;691.7,287.6;591.7,307.6;575.0,360.9;595.0,350.9
37,0#723.8,479.0;717.6,398.1;692.7,419.9;642.9,432.3;602.4,435.5;630.4,531.9;667.8,429.2;639.8,304.8;639.8,289.2;646.0,223.9;739.3,230.1;730.0,279.9;689.6,292.3;586.9,311.0;571.3,363.9;596.2,348.3
38,0#721.0,507.5;721.0,416.5;678.3,425.0;618.6,425.0;598.7,427.9;632.8,498.9;652.7,427.9;635.7,305.6;635.7,288.5;651.3,224.5;735.2,251.5;729.5,291.4;684.0,294.2;584.5,311.3;561.7,356.8;593.0,351.1
39,0#723.2,537.5;720.4,444.5;672.5,427.6;616.1,427.6;616.1,405.1;633.0,461.4;641.5,424.8;633.0,306.4;633.0,289.5;645.7,228.9;737.3,275.4;728.9,300.8;681.0,298.0;579.5,309.2;545.7,348.7;573.9,351.5
40,0#723.2,557.0;714.3,467.3;669.4,422.5;612.6,425.5;621.6,410.5;585.7,452.4;639.5,422.5;624.6,305.9;627.6,290.9;638.0,238.6;729.2,299.9;720.3,317.8;678.4,299.9;573.7,305.9;525.9,329.8;552.8,335.8
41,0#722.3,567.2;709.4,489.8;670.7,425.3;615.8,428.5;615.8,418.8;580.3,476.9;641.6,428.5;625.5,302.7;625.5,293.0;627.1,233.3;728.7,318.8;712.6,334.9;673.9,302.7;573.9,302.7;515.8,309.1;554.5,293.0
